,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
0,184992,2018-07-01 21:25:00,446,5000, ,IMPERIAL,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7043548,-117.0865425
1,185341,2018-07-01 21:33:00,831,4500, ,POLK,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7514054,-117.0976333
2,185017,2018-07-01 21:34:00,122,4400, ,MISSION,BOULEVARD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.7947879,-117.2550507
3,185048,2018-07-01 21:45:00,824,4300, ,EL CAJON,BOULEVARD, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.7554072,-117.1011965
4,185226,2018-07-01 22:30:00,934,13000, ,BRIXTON,PLACE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.95653360000001,-117.2196384
5,185063,2018-07-02 00:01:00,512,2000, ,HARRISON,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7035808,-117.1394549
6,185013,2018-07-02 00:25:00,326,5400, ,55TH,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,32.7751668,-117.0768858
7,185072,2018-07-02 08:10:00,934,9000, ,RECHO,ROAD, , , ,20002(A),VC,HIT AND RUN,0,0,MISDEMEANOR,32.8867767,-117.1724404
8,185659,2018-07-02 10:50:00,432,5100, ,IMPERIAL,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.704639,-117.0849383
9,185298,2018-07-02 12:57:00,445,600, ,47TH,STREET, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.7114193,-117.0936816
10,185438,2018-07-02 14:15:00,313,9100, ,CLAIREMONT MESA,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.8319102,-117.1328834
11,185089,2018-07-02 14:20:00,611,3300, ,ROSECRANS,STREET, , , ,21755,VC,PASS ON THE RIGHT SAFELY,1,0,,32.7478485,-117.2081916
12,185083,2018-07-02 14:42:00,833,3300, ,45TH,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7402473,-117.0977402
13,185081,2018-07-02 14:49:00,326,5000, ,COLLEGE,AVENUE, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,2,0,,32.7687181,-117.0686656
14,185111,2018-07-02 15:00:00,122,1000, ,AGATE,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8104296,-117.2557991
15,185110,2018-07-02 15:20:00,931,5700, ,MIRAMAR,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.8774307,-117.1859121
16,185191,2018-07-02 15:40:00,612,2900, ,LYTTON,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7438485,-117.2111685
17,185495,2018-07-02 15:55:00,123,500, ,SEA WORLD,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7641067,-117.2262649
18,185169,2018-07-02 16:15:00,617,4400, ,LADERA,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7192218,-117.2545152
19,185130,2018-07-02 17:09:00,113,4600, ,MORENA,BOULEVARD, , , ,21950A,VC,YIELD RIGHT OF WAY TO PEDESTRIANS,1,0,,32.8231083,-117.2280005
20,185088,2018-07-02 17:11:00,627,4100, ,4TH,AVENUE, , , ,21755,VC,PASS ON THE RIGHT SAFELY,2,0,,32.7518922,-117.1613886
21,185096,2018-07-02 17:15:00,313,4600, ,CONVOY,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8237433,-117.1552298
22,185116,2018-07-02 19:13:00,122,2900, ,GARNET,AVENUE, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.806683,-117.2178546
23,185382,2018-07-02 20:00:00,122,4200, ,MORRELL,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.7966318,-117.2320415
24,185074,2018-07-02 20:24:00,835,2300, ,MODESTO,STREET, , , ,23152A,VC,DUI ALCOHOL,0,0,,32.7298623,-117.1022345
25,185064,2018-07-02 21:30:00,821,4500, ,63RD,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7596195,-117.062144
26,185073,2018-07-02 23:13:00,834,3800, ,FAIRMOUNT,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,32.7479051,-117.1009287
27,185343,2018-07-03 00:01:00,828,3800, ,WINONA,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7471384,-117.0884707
28,185099,2018-07-03 00:01:00,316,5800, ,RANCHO MISSION,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7816665,-117.1140651
29,185098,2018-07-03 00:01:00,311,3400, ,RUFFIN,ROAD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8092919,-117.1191955
