,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
0,171594,2017-02-24 13:05:00,626,900,W,WASHINGTON,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.7505093,-117.1561249
1,171688,2017-02-24 13:13:00,527,900,W,IVY,STREET, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,32.7270972,-117.1707099
2,181688,2017-02-24 13:27:00,124,5900, ,SOLEDAD MTN,ROAD, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,,32.8266662,-117.2409129
3,171615,2017-02-24 13:30:00,315,2100, ,FENTON,PARKWAY, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,32.7790066,-117.1270465
4,171813,2017-02-24 13:40:00,325,6400, ,CIBOLA,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.8041396,-117.053921
5,171616,2017-02-24 15:00:00,326,5400, ,COLLEGE,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.77683409999999,-117.0679904
6,171669,2017-02-24 15:17:00,512,3100, ,NATIONAL,AVENUE, , , ,21703,VC,FOLLOWING TOO CLOSELY,3,0,,32.6960008,-117.1272607
7,171766,2017-02-24 15:52:00,315,3700, ,CAM DEL RIO, , , , ,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,2,0,,32.7779469,-117.1141403
8,171636,2017-02-24 15:57:00,521,1500, ,BROADWAY, , , , ,21658A,VC,LANED ROADWAYS - STRADDLING OR UNSAFE CHANGING,0,0,MISDEMEANOR,32.7157542,-117.150389
9,171617,2017-02-24 15:58:00,316,9400, ,FRIARS,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7869076,-117.1197976
10,171710,2017-02-24 16:30:00,321,6100, ,MISSION GORGE,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7850022,-117.0977572
11,171605,2017-02-24 16:49:00,114,4900, ,GENESEE,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.8345497,-117.1948674
12,171619,2017-02-24 18:10:00,233,14000, ,BARRYMORE,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.9711929,-117.1348766
13,171581,2017-02-24 20:20:00,313,7900, ,ENGINEER,ROAD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8263022,-117.1530507
14,171651,2017-02-24 22:30:00,834,3800, ,41ST,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7478055,-117.1069558
15,171721,2017-02-24 23:14:00,451,2000, ,BAYVIEW HEIGHTS,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7252145,-117.0760526
16,171574,2017-02-25 00:01:00,628,3300, ,REYNARD,WAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7398518,-117.1695496
17,171609,2017-02-25 03:48:00,114,5400, ,GENESEE,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.8447694,-117.2000463
18,171618,2017-02-25 04:28:00,314,2800, ,HEALTH CENTER,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7949602,-117.1574581
19,171583,2017-02-25 07:32:00,241,10000, ,SCRIPPS RANCH,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.9039091,-117.1004196
20,171803,2017-02-25 09:11:00,521,1300, ,BROADWAY,WAY, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7157431,-117.1528418
21,172626,2017-02-25 11:06:00,313,8500, ,BALBOA,AVENUE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.8217766,-117.1442296
22,171578,2017-02-25 12:00:00,124,8300, ,VIA MALLORCA, , , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8549634,-117.235807
23,171770,2017-02-25 12:00:00,124,7600, ,COUNTRY CLUB,DRIVE, , , ,21657,VC,OFF-CENTER LANES,0,0,MISDEMEANOR,32.843387,-117.2666622
24,171563,2017-02-25 12:21:00,934,11400, ,EL CAMINO REAL, , , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.926001,-117.2373346
25,171622,2017-02-25 13:02:00,841,6800, ,DUCHESS,STREET, , , ,21801A,VC,LEFT TURN YIELD UNTIL SAFE OR U-TURN,1,0,,32.7447359,-117.0504807
26,171701,2017-02-25 13:14:00,517,1200, ,26TH,STREET, , , ,21804,VC,ENTERING HWY FROM PRIVATE ROAD OR DRIVEWAY,1,0,,32.7179189,-117.1382041
27,171596,2017-02-25 13:31:00,445,1000, ,44TH,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7458691,-117.0998172
28,171909,2017-02-25 14:55:00,315,1600, ,CAM DEL RIO, , , , ,21806A,VC,YIELD RIGHT OF WAY TO EMERGENCY VEHICLE,0,0,,32.7671158,-117.1488738
29,171639,2017-02-25 16:58:00,242,8700, ,AQUARIUS,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.9301589,-117.1363945
30,171719,2017-02-25 17:23:00,626,900,W,WASHINGTON,STREET, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,2,0,,32.7505093,-117.1561249
31,171591,2017-02-25 18:00:00,231,11000, ,POWAY,ROAD, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,MISDEMEANOR,32.9464145,-117.0901949
32,171546,2017-02-25 18:15:00,527,0,W,GRAPE,STREET, ,NORTH HARBOR,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7265558,-117.1338358
33,171738,2017-02-25 18:55:00,313,8100, ,AERO,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.8101026,-117.1508029
34,171661,2017-02-25 22:01:00,622,1500, ,VIA LAS CUMBRES, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.77216629999999,-117.1805419
35,171614,2017-02-25 22:20:00,122,1800, ,GRAND,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.798767,-117.236597
36,171588,2017-02-25 23:08:00,821,6600, ,UNIVERSITY,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7555165,-117.0546826
37,171634,2017-02-26 00:01:00,437,2900, ,ALTA VIEW,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.6758738,-117.0401937
38,181738,2017-02-26 00:01:00,313,6400, ,CONVOY,COURT, , , ,22106,VC,STARTING PARKED VEHICLES OR BACKING,0,0,MISDEMEANOR,32.8350409,-117.1690993
39,171627,2017-02-26 00:01:00,313,5000, ,CONVOY,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.8328214,-117.1532717
40,171686,2017-02-26 00:08:00,999,10600, ,LOUISIANA,DRIVE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,,32.7521751,-117.1400523
41,171654,2017-02-26 00:50:00,512,200,S,31ST,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,FELONY,32.7074813,-117.1273791
42,171623,2017-02-26 01:50:00,323,6000, ,MADRA,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,,32.7862244,-117.0541047
