,Unnamed: 0,Unnamed: 0.1,report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,lat,lng
0,0,0,171099,2017-02-05 02:49:00,529,2800, ,04TH,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.687228000000005,-117.0778173
1,1,1,170977,2017-02-05 06:21:00,313,6400, ,CONVOY,COURT, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,0,0,MISDEMEANOR,32.8350409,-117.1690993
2,2,2,171097,2017-02-05 10:57:00,123,500, ,SEA WORLD,DRIVE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,1,0,,32.7641067,-117.2262649
3,3,3,171145,2017-02-05 11:07:00,521,1200, ,G,STREET, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.7126131,-117.1538373
4,4,4,171011,2017-02-05 11:22:00,313,7600, ,BALBOA,AVENUE, , , ,21453A,VC,RED OR STOPVEHICLES STOP AT LIMIT LINE,1,0,,32.822349100000004,-117.1594129
5,5,5,171037,2017-02-05 14:00:00,122,1700, ,GARNET,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.800201,-117.238991
6,6,6,171209,2017-02-05 14:25:00,611,4000, ,PACIFIC,HIGHWAY, , , ,21703,VC,FOLLOWING TOO CLOSELY,0,0,MISDEMEANOR,32.7431339,-117.1906293
7,7,7,171170,2017-02-05 14:33:00,312,10700, ,AVENIDA PLAYA VERACR, , , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.83458710000001,-117.09613020000002
8,8,8,171021,2017-02-05 18:01:00,122,1200, ,GARNET,AVENUE, , , ,22350,VC,VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS,1,0,,32.7985546,-117.2480918
9,9,9,171491,2017-02-05 19:00:00,813,3300, ,THORN,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,32.7392558,-117.1230756
10,10,10,171022,2017-02-05 19:31:00,115,9500, ,GENESEE,AVENUE, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,2,0,,32.8796969,-117.2158394
11,11,11,170966,2017-02-05 19:45:00,613,2200, ,CHATSWORTH,BOULEVARD, , , ,22107,VC,TURNING MOVEMENTS AND REQUIRED SIGNALS,0,0,MISDEMEANOR,32.739397,-117.2278064
