,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
2056,SS-000002,84.978,01ST AV,MONTECITO WY,ARBOR DR,352.0,40.0,Collector,AC Improved,14080.0,Good,1196490.24,32.7528397,-117.1631981,32.7546799,-117.1657835
2057,SS-000003,77.616,01ST AV,LEWIS ST,MONTECITO WY,357.0,40.0,Collector,AC Improved,14280.0,Good,1108356.48,32.7465189,-117.1636525,32.7528397,-117.1631981
2058,SS-000004,78.77600000000001,01ST AV,W WASHINGTON ST,LEWIS ST,718.0,42.0,Collector,AC Improved,30156.0,Good,2375569.056,32.7395581,-117.1640691,32.7465189,-117.1636525
2059,SS-000005,62.01,01ST AV,UNIVERSITY AV,W WASHINGTON ST,607.0,42.0,Collector,AC Improved,25494.0,Fair,1580882.94,32.7490663,-117.1014401,32.7395581,-117.1640691
2060,SS-000006,50.856,01ST AV,ROBINSON AV,UNIVERSITY AV,475.0,42.0,Collector,AC Improved,19950.0,Fair,1014577.2,32.7467767,-117.1639326,32.7490663,-117.1014401
2061,SS-000007,87.95200000000001,01ST AV,PENNSYLVANIA AV,ROBINSON AV,660.0007,42.0,Collector,AC Improved,27720.0294,Good,2438032.0257888,32.7465189,-117.1636525,32.7467767,-117.1639326
2062,SS-000008,81.93799999999999,01ST AV,BROOKES AV,PENNSYLVANIA AV,659.0189999999999,42.0,Collector,AC Improved,27678.798,Good,2267945.3505240004,32.7434128,-117.163901,32.7465189,-117.1636525
2063,SS-000009,48.836000000000006,01ST AV,W WALNUT AV,BROOKES AV,676.2468,42.0,Collector,AC Improved,28402.3656,Fair,1387057.9264416,32.7411989,-117.1640797,32.7434128,-117.163901
2064,SS-000010,66.306,01ST AV,UPAS ST,W WALNUT AV,253.0,52.0,Collector,AC Improved,13156.0,Fair,872321.7359999999,32.7406672,-117.1638725,32.7411989,-117.1640797
2065,SS-000011,67.27199999999999,01ST AV,THORN ST,UPAS ST,378.0012,52.0,Collector,AC Improved,19656.0624,Fair,1322302.6297728,32.7395581,-117.1640691,32.7406672,-117.1638725
2066,SS-000012,56.852,01ST AV,SPRUCE ST,THORN ST,381.0015,52.0,Collector,AC Improved,19812.078,Fair,1126356.258456,32.7385675,-117.1638572,32.7395581,-117.1640691
2067,SS-000013,68.688,01ST AV,REDWOOD ST,SPRUCE ST,380.9999,52.0,Collector,AC Improved,19811.9948,Fair,1360846.2988224,32.7375931,-117.1640455,32.7385675,-117.1638572
2068,SS-000014,67.366,01ST AV,QUINCE ST,REDWOOD ST,381.9999,52.0,Collector,AC Improved,19863.9948,Fair,1338157.8736968,32.7364925,-117.1638422,32.7375931,-117.1640455
2069,SS-000015,63.842,01ST AV,W PALM ST,QUINCE ST,381.0002,52.0,Collector,AC Improved,19812.0104,Fair,1264838.3679568002,32.7364925,-117.1638422,32.7364925,-117.1638422
2070,SS-000016,69.56,01ST AV,NUTMEG ST,W PALM ST,758.0104,40.0,Collector,AC Improved,30320.416,Fair,2109088.13696,32.7334689,-117.1617065,32.7364925,-117.1638422
2071,SS-000018,73.388,01ST AV,MAPLE ST,NUTMEG ST,378.0055,52.0,Collector,AC Improved,19656.286,Good,1442535.516968,32.732433,-117.1621217,32.7334689,-117.1617065
2072,SS-000019,36.772,01ST AV,LAUREL ST,MAPLE ST,383.0012,52.0,Collector,AC Improved,19916.0624,Poor,732353.4465728,32.73114,-117.1639948,32.732433,-117.1621217
2073,SS-000020,66.604,01ST AV,KALMIA ST,LAUREL ST,377.0012,52.0,Collector,AC Improved,19604.0624,Fair,1305708.9720896003,32.7303316,-117.16142,32.73114,-117.1639948
2074,SS-000021,74.436,01ST AV,JUNIPER ST,KALMIA ST,383.0015,52.0,Collector,AC Improved,19916.078,Good,1482473.182008,32.729436,-117.1639837,32.7303316,-117.16142
2075,SS-000022,64.404,01ST AV,IVY ST,JUNIPER ST,379.0012,52.0,Collector,AC Improved,19708.0624,Fair,1269278.0508096002,32.728448,-117.1637751,32.729436,-117.1639837
2076,SS-000023,67.666,01ST AV,HAWTHORN ST,IVY ST,380.0012,52.0,Collector,AC Improved,19760.0624,Fair,1337084.3823584,32.7274262,-117.1635859,32.728448,-117.1637751
2077,SS-000024,64.57,01ST AV,GRAPE ST,HAWTHORN ST,384.0015,52.0,Collector,AC Improved,19968.078,Fair,1289338.79646,32.7259582,-117.1637395,32.7274262,-117.1635859
2078,SS-000025,73.02,01ST AV,FIR ST,GRAPE ST,378.9999,52.0,Collector,AC Improved,19707.9948,Good,1439077.780296,32.7247236,-117.1636525,32.7259582,-117.1637395
2079,SS-000026,56.008,01ST AV,ELM ST,FIR ST,377.9999,52.0,Collector,AC Improved,19655.9948,Fair,1100892.9567584,32.7243199,-117.163755,32.7247236,-117.1636525
2080,SS-000027,81.318,01ST AV,ASH ST,BEECH ST,375.0052,52.0,Collector,AC Improved,19500.2704,Good,1585722.9883872,32.7196476,-117.1637294,32.7205405,-117.164152
2081,SS-000028,93.344,01ST AV,A ST,ASH ST,386.0054,52.0,Collector,AC Improved,20072.2808,Good,1873626.9789952,32.7164218,-117.1635504,32.7196476,-117.1637294
2082,SS-000029,68.28,01ST AV,W B ST,A ST,383.0012,52.0,Collector,AC Improved,19916.0624,Fair,1359868.740672,32.7205405,-117.164152,32.7164218,-117.1635504
2083,SS-000030,85.184,01ST AV,C ST,W B ST,376.0012,52.0,Collector,AC Improved,19552.0624,Good,1665522.8834816,32.7168663,-117.1637103,32.7205405,-117.164152
2084,SS-000032,50.184,01ST AV,W E ST,BROADWAY,391.9999,44.0,Collector,AC Improved,17247.9956,Fair,865573.4111903999,32.7138881,-117.1628671,32.7158551,-117.1636705
2085,SS-000033,58.506,01ST AV,G ST,W F ST,373.4769,52.0,Collector,AC Improved,19420.7988,Fair,1136233.2545928,32.7128697,-117.1636918,32.7138881,-117.1628671
2086,SS-000034,82.35799999999999,01ST AV,MARKET ST,G ST,393.0622,52.0,Collector,AC Improved,20439.2344,Good,1683334.4667152,32.7138881,-117.1628671,32.7128697,-117.1636918
2087,SS-000035,69.7,01ST AV,ISLAND AV,MARKET ST,386.0012,52.0,Collector,PCC Jointed Concrete,20072.0624,Fair,1399022.7492799999,32.7205405,-117.164152,32.7138881,-117.1628671
2088,SS-000036,77.4,01ST AV,HARBOR DR,ISLAND AV,593.3095,52.0,Collector,PCC Jointed Concrete,30852.093999999997,Good,2387952.0756,32.70713750000001,-117.1624983,32.7205405,-117.164152
2089,SS-000037,79.148,01ST AV,CEDAR ST,ELM ST,746.3805,40.0,Collector,AC Improved,29855.22,Good,2362980.9525599997,32.7223867,-117.1634806,32.7243199,-117.163755
2090,SS-000038,92.68799999999999,01ST AV,BEECH ST,CEDAR ST,394.6368,52.0,Collector,AC Improved,20521.1136,Good,1902060.9773568,32.7205405,-117.164152,32.7223867,-117.1634806
2091,SS-000039,59.413999999999994,01ST AV,W F ST,W E ST,387.5302,52.0,Collector,AC Improved,20151.5704,Fair,1197285.4037456,32.7138881,-117.1628671,32.7138881,-117.1628671
2092,SS-000041,70.748,02ND AV,UPAS ST,WALNUT AV,247.9998,52.0,Residential,AC Improved,12895.9896,Good,912365.4722208,32.7407992,-117.1612811,32.7412707,-117.1620271
2093,SS-000042,67.624,02ND AV,THORN ST,UPAS ST,375.9999,52.0,Residential,AC Improved,19551.9948,Fair,1322184.0963552,32.7393987,-117.1254989,32.7407992,-117.1612811
2094,SS-000043,69.368,02ND AV,SPRUCE ST,THORN ST,380.0002,52.0,Residential,AC Improved,19760.0104,Fair,1370712.4014271998,32.7387711,-117.1660151,32.7393987,-117.1254989
2095,SS-000044,68.334,02ND AV,REDWOOD ST,SPRUCE ST,382.0117,52.0,Residential,AC Improved,19864.6084,Fair,1357428.1504056002,32.7376527,-117.1612546,32.7387711,-117.1660151
2096,SS-000045,54.542,02ND AV,QUINCE ST,REDWOOD ST,381.0051,52.0,Residential,AC Improved,19812.2652,Fair,1080600.5685384,32.7366064,-117.1617372,32.7376527,-117.1612546
2097,SS-000046,35.67,02ND AV,MAPLE ST,NUTMEG ST,380.0055,52.0,Residential,AC Improved,19760.286,Poor,704849.40162,32.732433,-117.1621217,32.7334689,-117.1617065
2098,SS-000047,42.78,02ND AV,LAUREL ST,MAPLE ST,382.0012,52.0,Collector,AC Improved,19864.0624,Fair,849784.589472,32.7313873,-117.1617906,32.732433,-117.1621217
2099,SS-000048,82.45,02ND AV,KALMIA ST,LAUREL ST,377.0012,52.0,Residential,AC Improved,19604.0624,Good,1616354.9448799998,32.7303316,-117.16142,32.7313873,-117.1617906
2100,SS-000049,89.0,02ND AV,JUNIPER ST,KALMIA ST,383.0015,52.0,Residential,AC Improved,19916.078,Good,1772530.9419999998,32.7292798,-117.1621006,32.7303316,-117.16142
2101,SS-000050,60.55,02ND AV,IVY ST,JUNIPER ST,378.9999,52.0,Residential,AC Improved,19707.9948,Fair,1193319.0851399999,32.7320831,-117.1628318,32.7292798,-117.1621006
2102,SS-000051,62.468,02ND AV,HAWTHORN ST,IVY ST,380.0012,52.0,Residential,AC Improved,19760.0624,Fair,1234371.5780032,32.7271142,-117.1631499,32.7320831,-117.1628318
2103,SS-000052,72.432,02ND AV,GRAPE ST,HAWTHORN ST,383.0015,52.0,Residential,AC Improved,19916.078,Good,1442561.361696,32.7265781,-117.1345114,32.7271142,-117.1631499
2104,SS-000053,79.366,02ND AV,FIR ST,GRAPE ST,380.0012,52.0,Residential,AC Improved,19760.0624,Good,1568277.1124383998,32.7252516,-117.1630201,32.7265781,-117.1345114
2105,SS-000054,74.0,02ND AV,ELM ST,FIR ST,378.9999,52.0,Collector,AC Improved,19707.9948,Good,1458391.6152,32.7238389,-117.1630119,32.7252516,-117.1630201
2106,SS-000055,89.052,02ND AV,BEECH ST,CEDAR ST,380.0012,52.0,Collector,AC Improved,19760.0624,Good,1759673.0768448003,32.7210545,-117.1630384,32.7222488,-117.1626772
2107,SS-000056,88.624,02ND AV,ASH ST,BEECH ST,375.0052,52.0,Collector,AC Improved,19500.2704,Good,1728191.9639296,32.7201313,-117.162993,32.7210545,-117.1630384
2108,SS-000057,89.28,02ND AV,A ST,ASH ST,386.0015,52.0,Collector,AC Improved,20072.078,Good,1792035.1238400002,32.7206092,-117.1626327,32.7201313,-117.162993
2109,SS-000058,95.4,02ND AV,BROADWAY,C ST,379.0002,46.0,Collector,AC Improved,17434.0092,Good,1663204.47768,32.7158644,-117.1626071,32.7158644,-117.1626071
2110,SS-000059,66.62,02ND AV,MARKET ST,G ST,392.0114,60.0,Residential,AC Improved,23520.683999999997,Fair,1566947.96808,32.7214613,-117.1632463,32.7120297,-117.1625956
2111,SS-000060,76.692,02ND AV,ISLAND AV,MARKET ST,384.0012,60.0,Collector,AC Improved,23040.072,Good,1766989.201824,32.7158644,-117.1626071,32.7214613,-117.1632463
2112,SS-000061,86.708,02ND AV,J ST,ISLAND AV,383.01199999999994,60.0,Collector,AC Improved,22980.72,Good,1992612.2697599998,32.7094826,-117.1400095,32.7158644,-117.1626071
2114,SS-000063,80.64399999999999,02ND AV,CEDAR ST,ELM ST,760.0014,52.0,Collector,AC Improved,39520.0728,Good,3187056.7508832,32.7222488,-117.1626772,32.7238389,-117.1630119
2115,SS-000064,69.796,03RD AV,MONTECITO WY,ARBOR DR,348.0014,30.0,Local,AC Improved,10440.042,Fair,728673.171432,32.7532277,-117.16209,32.754257,-117.1659225
2116,SS-000065,71.49600000000001,03RD AV,LEWIS ST,MONTECITO WY,348.0014,30.0,Local,AC Improved,10440.042,Good,746421.242832,32.7518764,-117.161394,32.7532277,-117.16209
2117,SS-000066,81.098,03RD AV,WASHINGTON ST,LEWIS ST,713.0009,30.0,Local,AC Improved,21390.027000000002,Good,1734688.409646,32.7500243,-117.1629776,32.7518764,-117.161394
2118,SS-000067,83.978,03RD AV,UNIVERSITY AV,WASHINGTON ST,606.0034,40.0,Residential,AC Improved,24240.136000000002,Good,2035638.1410080001,32.7487985,-117.1300598,32.7500243,-117.1629776
2119,SS-000068,69.94800000000001,03RD AV,ROBINSON AV,UNIVERSITY AV,476.0008,40.0,Residential,AC Improved,19040.032,Fair,1331812.158336,32.7481969,-117.1629261,32.7487985,-117.1300598
2120,SS-000069,86.12799999999999,03RD AV,PENNSYLVANIA AV,ROBINSON AV,660.0007,40.0,Residential,AC Improved,26400.028,Good,2273781.611584,32.7481969,-117.1629261,32.7481969,-117.1629261
2121,SS-000070,71.058,03RD AV,BROOKES AV,PENNSYLVANIA AV,659.003,40.0,Residential,AC Improved,26360.12,Good,1873097.4069599998,32.7431566,-117.1704732,32.7481969,-117.1629261
2122,SS-000071,72.462,03RD AV,WALNUT AV,BROOKES AV,675.0033,40.0,Residential,AC Improved,27000.132,Good,1956483.564984,32.7318146,-117.1616945,32.7431566,-117.1704732
2123,SS-000072,74.99600000000001,03RD AV,UPAS ST,WALNUT AV,246.0,40.0,Residential,AC Improved,9840.0,Good,737960.64,32.7318146,-117.1616945,32.7318146,-117.1616945
2124,SS-000073,69.34,03RD AV,THORN ST,UPAS ST,375.0012,40.0,Residential,AC Improved,15000.048,Fair,1040103.3283200001,32.7393987,-117.1254989,32.7318146,-117.1616945
2125,SS-000074,56.762,03RD AV,SPRUCE ST,THORN ST,380.0002,40.0,Residential,AC Improved,15200.008,Fair,862782.854096,32.7387711,-117.1660151,32.7393987,-117.1254989
2126,SS-000075,52.52,03RD AV,REDWOOD ST,SPRUCE ST,382.1262,40.0,Residential,AC Improved,15285.048,Fair,802770.7209600001,32.7318146,-117.1616945,32.7387711,-117.1660151
2127,SS-000076,52.23,03RD AV,QUINCE ST,REDWOOD ST,383.8749,15.0,Residential,AC Improved,5758.1235,Fair,300746.79040500004,32.7366064,-117.1617372,32.7318146,-117.1616945
2128,SS-000078,42.0,03RD AV,OLIVE ST,PALM ST,400.597,52.0,Residential,AC Improved,20831.043999999998,Fair,874903.848,32.7345159,-117.1612281,32.5840743,-117.1272073
2129,SS-000079,98.0,03RD AV,NUTMEG ST,OLIVE ST,385.0116,52.0,Residential,AC Improved,20020.6032,Good,1962019.1136,32.7334689,-117.1617065,32.7345159,-117.1612281
2130,SS-000080,91.53200000000001,03RD AV,MAPLE ST,NUTMEG ST,381.0212,52.0,Residential,AC Improved,19813.1024,Good,1813532.8888768002,32.7327652,-117.1240786,32.7334689,-117.1617065
2131,SS-000081,14.83,03RD AV,LAUREL ST,MAPLE ST,379.9999,52.0,Collector,AC Improved,19759.9948,Poor,293040.722884,32.7313873,-117.1617906,32.7327652,-117.1240786
2132,SS-000082,79.5,03RD AV,KALMIA ST,LAUREL ST,377.9999,60.0,Residential,AC Improved,22679.994,Good,1803059.523,32.7303316,-117.16142,32.7313873,-117.1617906
2133,SS-000083,70.14,03RD AV,JUNIPER ST,KALMIA ST,383.0002,60.0,Residential,AC Improved,22980.012000000002,Good,1611818.04168,32.7318146,-117.1616945,32.7303316,-117.16142
2134,SS-000084,46.91,03RD AV,IVY ST,JUNIPER ST,379.0012,60.0,Residential,AC Improved,22740.072,Fair,1066736.77752,32.7276923,-117.1624,32.7318146,-117.1616945
2135,SS-000085,48.3,03RD AV,HAWTHORN ST,IVY ST,379.9999,60.0,Residential,AC Improved,22799.994,Fair,1101239.7102,32.7276923,-117.1624,32.7276923,-117.1624
2136,SS-000086,55.5,03RD AV,GRAPE ST,HAWTHORN ST,381.0015,60.0,Residential,AC Improved,22860.09,Fair,1268734.995,32.7238213,-117.1623664,32.7276923,-117.1624
