,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
19010,SS-018802,64.64,MONROE AV,32ND ST,BANCROFT ST,322.0402,36.0,Residential,AC Improved,11593.4472,Fair,749400.427008,32.7590794,-117.125028,32.7590699,-117.1239649
19011,SS-018803,63.273999999999994,MONROE AV,BANCROFT ST,33RD PL,225.0358,36.0,Residential,AC Improved,8101.2888,Fair,512600.9475312,32.7590699,-117.1239649,32.7590657,-117.123248
19012,SS-018804,81.388,MONROE AV,33RD ST,33RD ST,223.0215,36.0,Residential,AC Improved,8028.774,Good,653445.8583119999,32.7590601,-117.1229095,32.7590601,-117.1229095
19013,SS-018805,59.364,MONROE AV,FELTON ST,FELTON ST,213.0383,36.0,Residential,AC Improved,7669.3788,Fair,455285.00308319996,32.7590663,-117.1217931,32.7590663,-117.1217931
19014,SS-018806,50.73,MONROE AV,35TH PL,WILSON AV,316.057,36.0,Residential,AC Improved,11378.052,Fair,577208.57796,32.7590332,-117.1173081,32.7590231,-117.116272
19015,SS-018807,100.0,MONROE AV,WILSON AV,36TH ST,325.0404,36.0,Residential,AC Improved,11701.4544,Good,1170145.44,32.7590231,-117.116272,32.7590066,-117.1152119
19016,SS-018808,100.0,MONROE AV,36TH ST,CHEROKEE AV,330.039,36.0,Residential,AC Improved,11881.403999999999,Good,1188140.4,32.7590066,-117.1152119,32.7589996,-117.1141576
19017,SS-018809,49.82,MONROE AV,CHEROKEE AV,37TH ST,321.0408,36.0,Residential,AC Improved,11557.4688,Fair,575793.095616,32.7589996,-117.1141576,32.758989,-117.1130973
19018,SS-018810,48.33,MONROE AV,39TH ST,40TH ST,319.15,36.0,Residential,AC Improved,11489.4,Fair,555282.702,32.7589748,-117.1104124,32.7589744,-117.1093658
19019,SS-018812,94.436,MONROE AV,CENTRAL AV,KENSINGTON DR,247.0333,36.0,Residential,AC Improved,8893.1988,Good,839838.1218768001,32.7588751,-117.1082151,32.7588703,-117.1074067
19020,SS-018813,91.18,MONROE AV,49TH ST,WINONA AV,333.3325,40.0,Collector,AC Improved,13333.3,Good,1215730.294,32.7590176,-117.0889709,32.7590043,-117.087885
19021,SS-018814,89.958,MONROE AV,41ST ST,MARLBOROUGH DR,242.0338,36.0,Residential,AC Improved,8713.2168,Good,783823.5568944,32.7588667,-117.1071581,32.7588648,-117.1063875
19022,SS-018815,91.516,MONROE AV,WINONA AV,50TH ST,331.1127,36.0,Collector,AC Improved,11920.0572,Good,1090875.9547152,32.7590043,-117.087885,32.7589967,-117.0868266
19023,SS-018816,61.894,MONROE AV,MARLBOROUGH AV,EDGEWARE RD,230.0349,36.0,Residential,AC Improved,8281.2564,Fair,512560.08362159994,32.7588632,-117.1060951,32.7588647,-117.1053623
19024,SS-018817,96.772,MONROE AV,50TH ST,ALTADENA AV,333.0029,36.0,Collector,AC Improved,11988.1044,Good,1160112.8389968001,32.7589967,-117.0868266,32.7589792,-117.085751
19025,SS-018818,71.278,MONROE AV,42ND ST,VAN DYKE AV,393.9604,40.0,Collector,AC Improved,15758.416000000001,Good,1123228.375648,32.7588629,-117.1048124,32.7588429,-117.102428
19026,SS-018819,94.476,MONROE AV,ALTADENA AV,51ST ST,328.2586,36.0,Collector,AC Improved,11817.3096,Good,1116452.1417696,32.7589792,-117.085751,32.7589842,-117.084661
19027,SS-018820,96.416,MONROE AV,51ST ST,52ND ST,329.00300000000004,36.0,Collector,AC Improved,11844.108,Good,1141961.5169280001,32.7589842,-117.084661,32.7589703,-117.0835747
19028,SS-018821,92.78,MONROE AV,52ND ST,DAWSON AV,328.0549,36.0,Collector,AC Improved,11809.9764,Good,1095729.610392,32.7589703,-117.0835747,32.7589689,-117.0825149
19029,SS-018823,71.64399999999999,MONTALVO ST,CLOVIS ST,WEST POINT LOMA BL,897.7999,36.0,Residential,AC Improved,32320.7964,Good,2315591.1372816004,32.7502016,-117.2327036,32.7516695,-117.2350962
19030,SS-018824,75.318,MONTALVO ST,CAMULOS ST,CLOVIS ST,660.2311,36.0,Residential,AC Improved,23768.3196,Good,1790182.2956327999,32.7491515,-117.2309636,32.7502016,-117.2327036
19033,SS-018827,72.732,MONTARA AV,ZAPATA AV,MONTARA CT,415.1736,36.0,Residential,AC Improved,14946.2496,Good,1087070.6259072,32.9245203,-117.151943,32.9245564,-117.1505993
19035,SS-018829,86.13,MONTAUBON CR,MONTAUBON WY,MONTAUBON WY,317.8187,30.0,Residential,AC Improved,9534.561,Good,821211.73893,32.922931,-117.087715,32.922931,-117.087715
19036,SS-018830,85.234,MONTAUBON WY,WALDORF WY,MONTAUBON CR,312.1035,32.0,Residential,AC Improved,9987.312,Good,851258.551008,32.9233316,-117.0890463,32.922931,-117.087715
19037,SS-018831,89.14,MONTAUBON WY,MONTAUBON CR,MONTAUBON CR,150.1065,32.0,Residential,AC Improved,4803.407999999999,Good,428175.78912,32.922931,-117.087715,32.922931,-117.087715
19039,SS-018833,89.522,MONTAUBON WY,WALDORF WY,GATEMOORE WY,686.7249,32.0,Residential,AC Improved,21975.1968,Good,1967263.5679296001,32.9233316,-117.0890463,32.9233316,-117.0890463
19040,SS-018834,62.8,MONTCLAIR ST,KALMIA ST,MAPLE ST,678.4283,36.0,Residential,AC Improved,24423.4188,Fair,1533790.70064,32.7311317,-117.115991,32.7329284,-117.1166029
19041,SS-018835,64.05199999999999,MONTCLAIR ST,BECKY PL,KALMIA ST,1287.3031,36.0,Residential,AC Improved,46342.9116,Fair,2968356.1738032,32.72776,-117.1147787,32.7311317,-117.115991
19042,SS-018836,67.664,MONTCLAIR ST,BOUNDARY ST,BECKY PL,454.6822,36.0,Residential,AC Improved,16368.5592,Fair,1107562.1897088,32.7268024,-117.1152731,32.72776,-117.1147787
19043,SS-018837,77.558,MONTCLAIR ST,COOPER ST,MAPLE ST,639.4484,30.0,Residential,AC Improved,19183.452,Good,1487830.170216,32.7345761,-117.1172578,32.7329284,-117.1166029
19045,SS-018839,65.208,MONTCLIFF RD,BIGNELL DR,NEBRASKA AV,296.5888,36.0,Residential,AC Improved,10677.1968,Fair,696238.6489344,32.68956,-117.036293,32.6887928,-117.0366199
19046,SS-018840,73.414,MONTCLIFF RD,NEBRASKA AV,ALSACIA ST,1392.9599,36.0,Residential,AC Improved,50146.5564,Good,3681459.2915496,32.6887928,-117.0366199,32.68557,-117.0350825
19047,SS-018841,61.578,MONTCLIFF RD,ALSACIA ST,GOODE ST,731.5819,32.0,Residential,AC Improved,23410.6208,Fair,1441579.2076223998,32.68557,-117.0350825,32.6845171,-117.0330479
19048,SS-018842,66.936,MONTCLIFF RD,GOODE ST,ALTA VIEW DR,693.3548,32.0,Collector,AC Improved,22187.3536,Fair,1485132.7005696,32.6845171,-117.0330479,32.6832855,-117.0313422
