,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
26439,SS-027208,75.17399999999999,UNIVERSITY AV,ALABAMA ST,MISSISSIPPI ST,298.6499,52.0,Major,AC Improved,15529.7948,Good,1167436.7942952,32.7484345,-117.1421907,32.748436,-117.1412764
26440,SS-027209,51.31,UNIVERSITY AV,MISSISSIPPI ST,LOUISIANA ST,357.3729,52.0,Major,AC Improved,18583.3908,Fair,953513.781948,32.748436,-117.1412764,32.7484412,-117.1400528
26441,SS-027210,52.772,UNIVERSITY AV,LOUISIANA ST,TEXAS ST,355.1564,52.0,Major,AC Improved,18468.1328,Fair,974600.3041216,32.7484412,-117.1400528,32.7484465,-117.138976
26442,SS-027211,65.41199999999999,UNIVERSITY AV,TEXAS ST,ARIZONA ST,303.8655,52.0,Major,AC Improved,15801.006000000001,Fair,1033575.404472,32.7484465,-117.138976,32.7484468,-117.1379109
26443,SS-027212,70.516,UNIVERSITY AV,ARIZONA ST,ARNOLD AV,239.0041,52.0,Major,AC Improved,12428.2132,Good,876387.8820112,32.7484468,-117.1379109,32.7484482,-117.1367997
26444,SS-027213,61.236000000000004,UNIVERSITY AV,04TH AV,05TH AV,360.0027,52.0,Collector,AC Improved,18720.1404,Fair,1146346.5175343999,32.7483093,-117.1618572,32.7490663,-117.1014401
26445,SS-027214,68.25,UNIVERSITY AV,PERSHING AV,IDAHO ST,245.0203,52.0,Major,AC Improved,12741.0556,Fair,869577.0447,32.748459,-117.1346578,32.7484581,-117.1338729
26446,SS-027215,93.25,UNIVERSITY AV,03RD AV,04TH AV,352.0031,52.0,Collector,AC Improved,18304.1612,Good,1706863.0319,32.7490663,-117.1014401,32.7483093,-117.1618572
26447,SS-027216,84.228,UNIVERSITY AV,01ST AV,03RD AV,351.0029,52.0,Collector,AC Improved,18252.1508,Good,1537342.1575824,32.7490663,-117.1014401,32.7490663,-117.1014401
26448,SS-027217,67.41,UNIVERSITY AV,28TH ST,UTAH ST,286.7808,73.0,Major,AC Improved,20934.9984,Fair,1411228.242144,32.7484604,-117.1336421,32.7484524,-117.1326379
26449,SS-027218,72.308,UNIVERSITY AV,29TH ST,30TH ST,268.1062,73.0,Major,AC Improved,19571.7526,Good,1415194.2870008,32.7484557,-117.1309916,32.7484628,-117.1300905
26450,SS-027219,69.972,UNIVERSITY AV,30TH ST,RAY ST,280.9175,78.0,Major,AC Improved,21911.565,Fair,1533196.0261799998,32.7484628,-117.1300905,32.74847070000001,-117.1292304
26451,SS-027220,54.092,UNIVERSITY AV,HERMAN AV,32ND ST,301.3235,52.0,Collector,AC Improved,15668.822,Fair,847557.919624,32.7484584,-117.1260886,32.7485022,-117.1250179
26452,SS-027221,67.82600000000001,UNIVERSITY AV,54TH ST,CHOLLAS PY,1916.1657,70.0,Major,AC Improved,134131.59900000002,Fair,9097609.833774,32.7487286,-117.0793715,32.7485853,-117.0732512
26453,SS-027223,59.356,UNIVERSITY CENTER LN,I-5 NB OFF RA,LEBON DR,1982.4788,52.0,Residential,AC Improved,103088.8976,Fair,6118944.605945599,32.8703655,-117.2263867,32.8697619,-117.224456
26457,SS-027232,46.534,UPAS ST,ALBERT ST,HERBERT ST,280.0019,45.0,Collector,AC Improved,12600.0855,Fair,586332.378657,32.741133,-117.150135,32.7411344,-117.1492223
26458,SS-027233,70.252,UPAS ST,RICHMOND ST,ALBERT ST,324.0016,45.0,Collector,AC Improved,14580.072,Good,1024279.218144,32.7411274,-117.1512026,32.741133,-117.150135
26459,SS-027234,54.98,UPAS ST,VERMONT ST,RICHMOND ST,673.0119,40.0,Residential,AC Improved,26920.476000000002,Fair,1480087.77048,32.7411498,-117.1533495,32.7411274,-117.1512026
26460,SS-027235,49.0,UPAS ST,06TH AV,07TH AV,338.0018,33.0,Collector,AC Improved,11154.0594,Fair,546548.9106,32.7406913,-117.1602434,32.7109776,-117.1578094
26461,SS-027236,54.922,UPAS ST,UTAH ST,GRANADA AV,94.0214,52.0,Collector,AC Improved,4889.1128,Fair,268519.8532016,32.7411061,-117.132815,32.7411029,-117.1319057
26462,SS-027237,74.82600000000001,UPAS ST,GRANADA AV,GRANADA AV,186.012,52.0,Collector,AC Improved,9672.624,Good,723763.763424,32.7411029,-117.1319057,32.7411029,-117.1319057
26463,SS-027238,45.483999999999995,UPAS ST,ALABAMA ST,MISSISSIPPI ST,338.1198,40.0,Collector,AC Improved,13524.792,Fair,615161.639328,32.741204,-117.1422638,32.7410111,-117.1411586
26464,SS-027239,55.25,UPAS ST,GRANADA AV,29TH ST,139.0144,52.0,Collector,AC Improved,7228.7488,Fair,399388.3712,32.7411029,-117.1319057,32.74110570000001,-117.1314548
26465,SS-027240,66.60600000000001,UPAS ST,29TH ST,29TH ST,138.0037,52.0,Collector,AC Improved,7176.1924,Fair,477977.47099440004,32.74110570000001,-117.1314548,32.74110570000001,-117.1314548
26466,SS-027241,56.816,UPAS ST,29TH ST,DALE ST,191.0183,52.0,Collector,AC Improved,9932.9516,Fair,564350.5781056,32.74110570000001,-117.1314548,32.7410995,-117.1303838
26467,SS-027242,55.3,UPAS ST,DALE ST,30TH ST,93.0216,52.0,Collector,AC Improved,4837.1232,Fair,267492.91296,32.7410995,-117.1303838,32.741102,-117.1301075
26468,SS-027243,65.64399999999999,UPAS ST,MISSISSIPPI ST,LOUISIANA ST,331.0967,40.0,Collector,AC Improved,13243.868,Fair,869380.470992,32.7410111,-117.1411586,32.741001,-117.1400823
26469,SS-027244,51.09,UPAS ST,LOUISIANA ST,TEXAS ST,336.0952,40.0,Collector,AC Improved,13443.808,Fair,686844.15072,32.741001,-117.1400823,32.7409893,-117.1389901
26470,SS-027245,49.048,UPAS ST,TEXAS ST,ARIZONA ST,329.0243,40.0,Collector,AC Improved,13160.972,Fair,645519.354656,32.7409893,-117.1389901,32.7409864,-117.137924
26471,SS-027246,59.09,UPAS ST,05TH AV,06TH AV,283.0019,52.0,Collector,AC Improved,14716.0988,Fair,869574.278092,32.7406913,-117.1602434,32.7406913,-117.1602434
26472,SS-027247,63.218,UPAS ST,04TH AV,05TH AV,279.0001,52.0,Collector,AC Improved,14508.0052,Fair,917167.0727336,32.7407992,-117.1612811,32.7406913,-117.1602434
26473,SS-027248,67.444,UPAS ST,01ST AV,02ND AV,283.0019,52.0,Residential,AC Improved,14716.0988,Fair,992512.5674671999,32.7406672,-117.1638725,32.7158644,-117.1626071
26474,SS-027249,62.38,UPAS ST,03RD AV,04TH AV,279.0019,52.0,Residential,AC Improved,14508.0988,Fair,905015.203144,32.7233309,-117.162274,32.7407992,-117.1612811
26475,SS-027250,74.11399999999999,UPAS ST,02ND AV,03RD AV,277.9998,52.0,Residential,AC Improved,14455.9896,Good,1071391.2132144,32.7158644,-117.1626071,32.7233309,-117.162274
26476,SS-027251,84.62,UPAS ST,32ND ST,BANCROFT ST,324.8184,24.0,Collector,AC Improved,7795.6416,Good,659667.192192,32.7410259,-117.1250136,32.7410213,-117.1239585
26477,SS-027254,21.14,UPAS ST,GREGORY ST,BOUNDARY ST,163.0123,24.0,Collector,AC Improved,3912.2952,Poor,82705.920528,32.7410222,-117.1211275,32.7410322,-117.1206097
26478,SS-027255,49.32,UPAS ST,PARK BL,FLORIDA DR,1182.2877,30.0,Residential,AC Improved,35468.631,Fair,1749312.8809200001,32.74116,-117.1475931,32.7412047,-117.1437206
26480,SS-027257,71.392,UPAS ST,HERBERT ST,PARK BL,519.0089,45.0,Collector,AC Improved,23355.4005,Good,1667388.752496,32.7411344,-117.1492223,32.74116,-117.1475931
26481,SS-027258,40.711999999999996,UPAS ST,28TH ST,UTAH ST,262.2036,52.0,Collector,AC Improved,13634.5872,Fair,555091.3140864001,32.7409579,-117.1337293,32.7411061,-117.132815
26482,SS-027259,84.81200000000001,UPAS ST,30TH ST,30TH ST,243.0184,52.0,Collector,AC Improved,12636.9568,Good,1071765.5801216,32.741102,-117.1301075,32.741102,-117.1301075
26483,SS-027260,51.78,UPAS ST,ARIZONA ST,ARNOLD AV,344.0232,40.0,Collector,AC Improved,13760.928,Fair,712540.85184,32.7409864,-117.137924,32.7409782,-117.1368026
26484,SS-027261,36.344,UPAS ST,ARNOLD AV,VILLA TR,324.0988,40.0,Collector,AC Improved,12963.952,Poor,471161.87148800003,32.7409782,-117.1368026,32.7409686,-117.1357461
26485,SS-027262,59.5,UPAS ST,30TH ST,GRIM AV,332.9995,24.0,Collector,AC Improved,7991.988,Fair,475523.286,32.741102,-117.1301075,32.7410276,-117.1282375
26486,SS-027263,60.11600000000001,UPAS ST,GRIM AV,31ST ST,333.0149,24.0,Collector,AC Improved,7992.3576,Fair,480468.5694816,32.7410276,-117.1282375,32.7410262,-117.1271693
