,Unnamed: 0,seg_id,oci,street,street_from,street_to,seg_length_ft,seg_width_ft,func_class,pvm_class,area_sq_ft,oci_desc,oci_wt,start_lat,start_long,end_lat,end_long
0,9234,SS-007997,85.434,CORONADO (SB) AV,THERMAL AV,18TH ST,671.044,68.0,Major,AC Improved,45630.992,Good,3898438.170528,32.5764748,-117.09709369999999,32.5806238,-117.09487759999999
1,9235,SS-007998,81.22399999999998,CORONADO (SB) AV,18TH ST,SATURN BL,659.029,82.0,Major,AC Improved,54040.378,Good,4389375.662672,32.5806238,-117.09487759999999,32.578100199999994,-117.09399740000002
2,9236,SS-007999,92.376,CORONADO (SB) AV,SATURN BL,RAEDEL DR,506.08,82.0,Major,AC Improved,41498.56,Good,3833470.97856,32.578100199999994,-117.09399740000002,32.57861860000001,-117.09086299999998
3,9237,SS-008000,90.996,CORONADO (SB) AV,RAEDEL DR,GREEN BAY ST,832.0987,64.0,Major,AC Improved,53254.3168,Good,4845929.811532799,32.57861860000001,-117.09086299999998,32.5728032,-117.08840929999998
4,9238,SS-008001,86.932,CORONADO (SB) AV,GREEN BAY ST,NESTOR WY,907.0086,66.0,Major,AC Improved,59862.5676,Good,5203972.726603202,32.5728032,-117.08840929999998,32.5759367,-117.0854816
5,9239,SS-008002,86.416,CORONADO (SB) AV,NESTOR WY,HOLLISTER ST,430.0745,66.0,Major,AC Improved,28384.917,Good,2452910.987472,32.5759367,-117.0854816,32.575986199999996,-117.08357590000001
6,9240,SS-008003,98.8,CORONADO (SB) AV,30TH (SB) ST,BEYER BL,222.0,52.0,Major,AC Improved,11544.0,Good,1140547.2,32.6812801,-117.1790017,32.5715283,-117.0648512
7,9241,SS-008004,64.29,CORONADO (SB) AV,I-5 NB OFF RA,25TH (SB) ST,239.0752,64.0,Major,AC Improved,15300.8128,Fair,983689.254912,32.7044857,-117.1471653,32.634682399999996,-117.14218600000001
8,9242,SS-008005,90.532,CORONADO (SB) AV,27TH (SB) ST,DEARBORN DR,514.0,64.0,Major,AC Improved,32896.0,Good,2978140.672,32.5916159,-117.0753935,32.576524,-117.07377439999999
9,9243,SS-008006,94.972,CORONADO (SB) AV,DEARBORN DR,MADDEN AV,816.0,64.0,Major,AC Improved,52224.0,Good,4959817.728,32.576524,-117.07377439999999,32.578153,-117.0707392
10,9244,SS-008007,91.116,CORONADO (SB) AV,MADDEN AV,30TH (SB) ST,516.0,52.0,Major,AC Improved,26832.0,Good,2444824.512,32.578153,-117.0707392,32.6812801,-117.1790017
11,9245,SS-008008,83.62,CORONADO (SB) AV,CAM DONAIRE,HAWAII AV,363.0,52.0,Residential,PCC Jointed Concrete,18876.0,Good,1578411.12,32.576519,-117.0672173,32.6894411,-117.1533503
12,9246,SS-008009,67.98,CORONADO (SB) AV,HOLLISTER ST,I-5 NB OFF RA,1087.0227,70.0,Major,AC Improved,76091.589,Fair,5172706.22022,32.575986199999996,-117.08357590000001,32.7044857,-117.1471653
13,9247,SS-008010,70.07600000000001,CORONADO (SB) AV,25TH (SB) ST,27TH (SB) ST,1335.1070000000002,64.0,Major,AC Improved,85446.84800000001,Good,5987773.320448,32.634682399999996,-117.14218600000001,32.5916159,-117.0753935
14,9248,SS-008011,83.72,CORONADO AV,CABLE ST,OCEAN FRONT ST,472.6587,40.0,Prime,PCC Jointed Concrete,18906.348,Good,1582839.45456,32.7415761,-117.2529753,32.7423289,-117.25419939999999
15,9249,SS-008012,78.77199999999998,CORONADO AV,SUNSET CLIFFS BL,CABLE ST,657.8159,40.0,Major,PCC Jointed Concrete,26312.636,Good,2072698.962992,32.740500899999994,-117.25124299999999,32.7415761,-117.2529753
16,9250,SS-008013,81.668,CORONADO AV,EBERS ST,SUNSET CLIFFS BL,656.2091,40.0,Prime,AC Improved,26248.364,Good,2143651.391152,32.7394526,-117.2495074,32.740500899999994,-117.25124299999999
17,9251,SS-008014,76.234,CORONADO AV,FROUDE ST,EBERS ST,662.8158,40.0,Prime,AC Improved,26512.632,Good,2021163.987888,32.738388199999996,-117.2477754,32.7394526,-117.2495074
18,9252,SS-008015,65.306,CORONADO AV,GUIZOT ST,FROUDE ST,657.6077,40.0,Prime,AC Improved,26304.308,Fair,1717829.138248,32.7373174,-117.24604309999998,32.738388199999996,-117.2477754
